osm_id,code,fclass,name,latitude,longitude
"6255423148","5621",bus_stop,Dakhla Mosquee Abou Baker,30.413,-9.553
"6255423149","5621",bus_stop,Dakhla Mosquee Abou Baker,30.413,-9.553
"6255423150","5621",bus_stop,Dakhla L'Fath,30.413,-9.556
"6255423151","5621",bus_stop,Dakhla L'Fath,30.414,-9.555
"6255423152","5621",bus_stop,Rjaflah - Ghandi El Feddia,30.415,-9.558
"6255423153","5621",bus_stop,Rjaflah - Ghandi El Feddia,30.416,-9.558
"6255423154","5621",bus_stop,L'Wafa-L'Qods,30.419,-9.558
"6255423155","5621",bus_stop,L'Wafa-L'Qods,30.419,-9.558
"6255423156","5621",bus_stop,Erac - Lwafa,30.423,-9.558
"6255423157","5621",bus_stop,Erac - Lwafa,30.423,-9.558
"6255423158","5621",bus_stop,Abderrahim Bouabid Afoulki,30.42,-9.561
"6255423159","5621",bus_stop,Abderrahim Bouabid Afoulki,30.42,-9.561
"6255423160","5621",bus_stop,Iman Boukhari - Erac,30.422,-9.560
"6255423161","5621",bus_stop,Iman Boukhari - Erac,30.422,-9.560
"6255423162","5621",bus_stop,Iman Boukhari - Tafoukt,30.424,-9.563
"6255423163","5621",bus_stop,Iman Boukhari - Tafoukt,30.424,-9.564
"6255423164","5621",bus_stop,Erac 20 Aout,30.426,-9.568
"6255423165","5621",bus_stop,Erac 20 Aout,30.426,-9.568
"6255423166","5621",bus_stop,Lagouira 2,30.424,-9.572
"6255423167","5621",bus_stop,Lagouira 2,30.424,-9.572
"6255423168","5621",bus_stop,Lagouira,30.425,-9.575
"6255423169","5621",bus_stop,Lagouira,30.426,-9.575
"6255423170","5621",bus_stop,Lagouira Farha,30.426,-9.577
"6255423171","5621",bus_stop,Lagouira Farha,30.427,-9.577
"6255423172","5621",bus_stop,Lagouira Najah,30.429,-9.577
"6255423173","5621",bus_stop,Lagouira Najah,30.429,-9.576
"6255423174","5621",bus_stop,Marin Pecheur,30.43,-9.576
"6255423175","5621",bus_stop,Marin Pecheur,30.43,-9.576
"6255423176","5621",bus_stop,Les Amicales Mosquee,30.431,-9.578
"6255423177","5621",bus_stop,Les Amicales Mosquee,30.431,-9.578
"6255423178","5621",bus_stop,Les Amicales,30.432,-9.580
"6255423179","5621",bus_stop,Les Amicales,30.431,-9.580
"6255423180","5621",bus_stop,Anouar Souss,30.429,-9.583
"6255423181","5621",bus_stop,Anouar Souss,30.428,-9.583
"6255423182","5621",bus_stop,Ennahda Mosquee,30.426,-9.586
"6255423183","5621",bus_stop,Ennahda Mosquee,30.425,-9.586
"6255423184","5621",bus_stop,Talborjt Artisanat,30.424,-9.591
"6255423585","5621",bus_stop,Talborjt Artisanat,30.424,-9.591
"6255423586","5621",bus_stop,Av. 29 Fev. Centre De Sante,30.421,-9.594
"6255423587","5621",bus_stop,Av. 29 Fev. Centre De Sante,30.421,-9.595
"6255423588","5621",bus_stop,Place Amal Oddissey,30.419,-9.602
"6255423589","5621",bus_stop,Place Amal Oddissey,30.419,-9.601
"6255423590","5621",bus_stop,Place Amal,30.42,-9.599
"6255423591","5621",bus_stop,Place Amal,30.42,-9.599
"6255423592","5621",bus_stop,La Poste Principale,30.421,-9.597
"6255423593","5621",bus_stop,La Poste Principale,30.421,-9.597
"6255423595","5621",bus_stop,Wilaya - Vallee Des Oiseaux,30.421,-9.602
"6255853687","5622",bus_station,Grand-Taxi Martil,35.567,-5.369
"6264756298","5621",bus_stop,Les Amicales Rn1 - Afriquia,30.436,-9.581
"6264756299","5621",bus_stop,Les Amicales Rn1 - Afriquia,30.436,-9.581
"6264756300","5621",bus_stop,Far - Al Manzah,30.431,-9.585
"6264756301","5621",bus_stop,Rentree Charaf,30.428,-9.591
"6264756302","5621",bus_stop,Rentree Charaf,30.428,-9.591
"6264756303","5621",bus_stop,Aswak Salam,30.426,-9.592
"6264756304","5621",bus_stop,Aswak Salam,30.426,-9.591
